,max_abs_r,n_significant,profile_variance,profile_range,max_abs_r_norm,n_sig_norm,var_norm,composite_score
Dialister_invisus,0.106452235150644,1,0.0024103578250216097,0.16081387082784981,0.2798639075673349,0.08333333333333333,0.22439505723576647,0.19721099400254227
Clostridium_lavalense,0.0911812263603041,2,0.0016648226121078228,0.1733625536798081,0.23971628467795503,0.16666666666666666,0.15498859192326928,0.19296699518533267
Butyricimonas_virosa,0.0873492767356641,2,0.001789910981288673,0.17464173974600722,0.2296420537889999,0.16666666666666666,0.16663383872873638,0.1918486145311174
Lactobacillus_rogosae,0.091849310138366,2,0.001568814216560115,0.1289060233024177,0.24147268308937553,0.16666666666666666,0.14605057898992033,0.19143505131656363
Paraprevotella_xylaniphila,0.0892970081586257,2,0.0016580895391279159,0.1376526196176878,0.23476265765561039,0.16666666666666666,0.15436176868523602,0.19082883856688648
Holdemanella_biformis,0.0867636776597899,2,0.001744349848670507,0.1708982469523149,0.22810250842003654,0.16666666666666666,0.16239227224617978,0.1901724047628929
Dielma_fastidiosa,0.0846298419289813,2,0.0017990013416941503,0.16182733483999973,0.22249263461244762,0.16666666666666666,0.16748011637361782,0.18920041627171683
Ruminococcaceae_bacterium_D16,0.078041989440225,2,0.002058768813236254,0.1527897461068248,0.2051731096877577,0.16666666666666666,0.19166347041324389,0.18831844481174737
Veillonella_sp_T11011_6,0.107646337130285,1,0.0017987472315663233,0.159803042812383,0.2830032126799359,0.08333333333333333,0.16745645969655268,0.1842320666627792
Slackia_isoflavoniconvertens,0.0822017305471175,2,0.0016597226264659151,0.1613816008664207,0.2161091074053816,0.16666666666666666,0.15451380284500982,0.18340542700673843
Bacteroides_fragilis,0.0891685614093391,2,0.0012900920138172087,0.1651419046377986,0.23442496996761777,0.16666666666666666,0.12010261226559688,0.18212897438677966
Parabacteroides_distasonis,0.111779058603313,1,0.0013880134512145182,0.1626497083004325,0.29386817553104283,0.08333333333333333,0.12921872204866644,0.1790186173912504
Akkermansia_muciniphila,0.0852583064567944,2,0.0013173379077160274,0.12441720168927431,0.22414487364972413,0.16666666666666666,0.1226391003576959,0.17865105788264696
Coprobacter_fastidiosus,0.104579797251612,1,0.0016368151026593294,0.1623420212889482,0.2749412510692473,0.08333333333333333,0.1523812003482571,0.17723846718142988
Streptococcus_parasanguinis,0.0957776974935689,1,0.002000151913961928,0.1695909661881943,0.2518004496610156,0.08333333333333333,0.18620646219184941,0.17643846207903527
Alistipes_onderdonkii,0.101495224612125,1,0.001700846573061363,0.1673366097661809,0.26683188116413925,0.08333333333333333,0.15834228434856557,0.17548499021946376
Collinsella_intestinalis,0.0963143518877106,1,0.001908871100106197,0.1658824398683329,0.2532113190104956,0.08333333333333333,0.17770856895912968,0.17487833651064733
Blautia_wexlerae,0.107388814321414,1,0.0013664038731489023,0.1604147531848693,0.2823261828413763,0.08333333333333333,0.1272069533160173,0.17389887813222152
Bacteroides_nordii,0.0931006621153815,1,0.001991915687417734,0.16290906361901258,0.24476249897284735,0.08333333333333333,0.18543970112940233,0.1734315915381562
[Collinsella]_massiliensis,0.0942727853976021,1,0.0018184262862746216,0.1569261789279668,0.24784402188731405,0.08333333333333333,0.16928850411824548,0.17062640145115365
Dorea_formicigenerans,0.0892782244247864,1,0.002005654655992237,0.1529925430572395,0.2347132750461844,0.08333333333333333,0.18671874634320096,0.16973166327094066
Intestinimonas_butyriciproducens,0.0996755863867727,1,0.0015354481547067546,0.1656422225857335,0.2620480354949024,0.08333333333333333,0.14294432676396718,0.16972196255561944
Parabacteroides_johnsonii,0.0996235768829731,1,0.0014695655566381667,0.1417046820515172,0.26191130202995083,0.08333333333333333,0.1368109098866165,0.16813391495030114
Bacteroides_uniformis,0.106616235645178,1,0.0011439145295451098,0.1463592771148085,0.280295066379344,0.08333333333333333,0.10649404983170849,0.16790820567633138
Sutterella_parvirubra,0.0990055897534102,1,0.0014152575393862844,0.1411796817416919,0.2602866081692626,0.08333333333333333,0.13175504203451124,0.16622007044299952
Ruminococcus_torques,0.0933235010868019,1,0.0016616399955542956,0.16309607290680772,0.24534834468300784,0.08333333333333333,0.15469230254404326,0.16597908017588064
Veillonella_dispar,0.0855365443003892,1,0.0019593508772501687,0.1452883674621493,0.22487636350553933,0.08333333333333333,0.18240804235842412,0.16471922265848843
Clostridium_disporicum,0.0833970856546881,1,0.001767764305021941,0.15119230249829269,0.2192517070028618,0.08333333333333333,0.1645720682161318,0.15801036652184436
Victivallis_vadensis,0.0902777314209195,1,0.0014400802959621927,0.1532058323107722,0.23734098815322105,0.08333333333333333,0.13406594534719699,0.15761954826475433
Paraprevotella_clara,0.0906120915587903,1,0.001402991960763649,0.1365658008653394,0.23822002403806514,0.08333333333333333,0.1306131637671086,0.15710796722366988
Bacteroides_clarus,0.0856091890235233,1,0.0016287062307551348,0.15975559741010859,0.22506734715235224,0.08333333333333333,0.15162629551372578,0.15710017940603901
Coprococcus_eutactus,0.0873783851824111,1,0.0013894616430485346,0.1547603583311063,0.2297185801638412,0.08333333333333333,0.1293535431470565,0.15339248451896725
Veillonella_atypica,0.0786008076454687,1,0.0017139660931101623,0.1454025765693053,0.2066422479009474,0.08333333333333333,0.15956366128343197,0.15171448114790362
Roseburia_faecis,0.0822025863617878,1,0.0015495070426317775,0.1398437064320357,0.21611135735003936,0.08333333333333333,0.14425315524074261,0.15167449841686806
Prevotella_copri,0.0872800281600594,1,0.0013185863142917019,0.14307746122128,0.22945999864535002,0.08333333333333333,0.12275532221575114,0.15163949667874446
Methanobrevibacter_smithii,0.0888564776285133,1,0.0012020660928681772,0.1235319751250735,0.2336044988308051,0.08333333333333333,0.11190773706302735,0.15058540046474556
Bacteroides_intestinalis,0.0889482804032706,1,0.0011478642574731454,0.15580194490694999,0.23384584917194867,0.08333333333333333,0.10686175433403453,0.14942044491895476
Romboutsia_ilealis,0.0794547071433426,1,0.0015543374378775984,0.1386988174921679,0.20888715755274187,0.08333333333333333,0.14470284648840936,0.14889724130986576
Ruminococcaceae_bacterium_D5,0.0819243741830144,1,0.0014388551342987383,0.1536044623597943,0.21537993496727623,0.08333333333333333,0.13395188750120418,0.1488066125288782
Eubacterium_ventriosum,0.0845098772197394,1,0.0012251902333610411,0.1243638411967779,0.22217724628592628,0.08333333333333333,0.11406050574141957,0.14655269161639206
Eubacterium_siraeum,0.0839947490889155,1,0.0012147542583593985,0.1286780345670831,0.22082296968115397,0.08333333333333333,0.11308895654507416,0.14576809367539678
Desulfovibrio_piger,0.0827900929190263,1,0.0012014914610445693,0.13647467019730858,0.21765591750509405,0.08333333333333333,0.1118542410469548,0.14419259393044298
Roseburia_inulinivorans,0.0780096323307164,1,0.0014090244441612384,0.1452190457312717,0.20508804254856755,0.08333333333333333,0.13117476480543733,0.14399557488745302
